objectid,system_id,format,title,item_type,author,primary_investigator,supervisor,all_people,date,date-range,department,college,desciprition,amount,status,sponsor,prime,notes,abstract,subject,language,format_description,identifier,degree,publisher,permalink,proposal,due_date,direct,indirect,oh_rate,start_date,end_date,approval,action
ikdb001,CP71261491340001451,record,The complexities of neophyte diet : an analysis of faunal remains from feature 157 at Mission Santa Clara de Asís,Thesis,Lindsay (Lindsay Aliana) Kiel,,Mark S. Warner,Lindsay (Lindsay Aliana) Kiel ; Mark S. Warner,2016,,Anthropology,,"Abstract: Between 1769 and 1823, twenty-one missions located from Sonoma down to San Diego were founded in Alta California. With the creation of these missions came the transition of thousands of Native Californians from a life of seasonal rounds to one of sedentary agriculture, all within the span of just a few years' time. While the missions closed in 1837, many remain standing to this day, providing a wealth of information about the people who lived there and about the transition from Native subsistence practices to farming and Christianity. This thesis focuses on Mission Santa Clara de Asís, located in the southern end of the San Francisco Bay Area. The soil of Mission Santa Clara contains a plethora of information on the lives of the Native people who lived there, and the archaeology that continuously occurs on the site helps to illuminate that. In this thesis, I analyze the faunal remains from Feature 157, a multi-use pit feature that was excavated in the fall of 2013. By looking at primary source documents written by the Mission Santa Clara padres and by visitors to the mission, I compare the diet of the neophytes as it is recorded in these documents to the skeletal remains present in this assemblage. While researchers have shown that mission Indians ate wild fauna at other missions, I use the Feature 157 assemblage to show the same with Mission Santa Clara. | Major professor: Mark Warner.; Accompanying CD-ROM contains Appendix B Full analysis database.; Includes bibliographical references (leaves 93-98).",,,,,Major professor: Mark Warner.; Accompanying CD-ROM contains Appendix B Full analysis database.; Includes bibliographical references (leaves 93-98).,"Abstract: Between 1769 and 1823, twenty-one missions located from Sonoma down to San Diego were founded in Alta California. With the creation of these missions came the transition of thousands of Native Californians from a life of seasonal rounds to one of sedentary agriculture, all within the span of just a few years' time. While the missions closed in 1837, many remain standing to this day, providing a wealth of information about the people who lived there and about the transition from Native subsistence practices to farming and Christianity. This thesis focuses on Mission Santa Clara de Asís, located in the southern end of the San Francisco Bay Area. The soil of Mission Santa Clara contains a plethora of information on the lives of the Native people who lived there, and the archaeology that continuously occurs on the site helps to illuminate that. In this thesis, I analyze the faunal remains from Feature 157, a multi-use pit feature that was excavated in the fall of 2013. By looking at primary source documents written by the Mission Santa Clara padres and by visitors to the mission, I compare the diet of the neophytes as it is recorded in these documents to the skeletal remains present in this assemblage. While researchers have shown that mission Indians ate wild fauna at other missions, I use the Feature 157 assemblage to show the same with Mission Santa Clara.",Santa Clara Mission; Indians of North America -- Food -- California -- San Francisco Bay Area; Indians of North America -- Cultural assimilation -- California -- San Francisco Bay Area; Indians of North America -- California -- San Francisco Bay Area -- Antiquities; Animal remains (Archaeology) -- California -- San Francisco Bay Area; Excavations (Archaeology) -- California -- San Francisco Bay Area; San Francisco Bay Area (Calif.) -- Antiquities; California -- Antiquities,eng,"v, 106 leaves : illustrations ; 29 cm + 1 CD-ROM",Print ISBN: 9781339931746,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71261491340001451,,,,,,,,,
ikdb002,CP71175049290001451,record,Utilization of lidar and multispectral satellite imagery to improve estimation and mapping of forest fuel models and fuel loadings in a mixed-conifer forest,Thesis,Riley W. Tschida,,Karen Sue Humes,Riley W. Tschida ; Karen Sue Humes,2012,,Geography,, | Major professor: Karen S. Humes.; Includes bibliographical references (leaves 35-39).,,,,,Major professor: Karen S. Humes.; Includes bibliographical references (leaves 35-39).,,Fuel reduction (Wildfire prevention) -- Idaho -- Nez Percé Indian Reservation; Optical radar,eng,"viii, 49 leaves : illustrations (some color), 1 map ; 28 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71175049290001451,,,,,,,,,
ikdb003,CP71309914660001451,record,Lithic debitage analysis of the Kelly Forks Work Center Site (10CW34),Thesis,Daniel J. Polito,,Robert Lee Sappington,Daniel J. Polito ; Robert Lee Sappington,2017,,Anthropology,,Abstract: The analysis of the lithic debitage assemblages recovered from archaeological sites has become an important tool for determining past lifeways and behaviors. Lithic debitage enters into the archaeological record where the manufacturing behavior occurred and is therefore a good indicator of spatial use patterns. The analysis of the debitage assemblage from the Kelly Forks Work Center Site found the spatial and temporal patterns are consistent with what is to be expected from a prehistoric seasonal hunting camp with no local source of quality lithic materials. The methods of analysis used a combination of both multivariate aggregate analysis and application load typological analysis. This combined approach was statistically analyzed and it was determined that a correlation exists between these two methodologies. The comprehensive data generated from this research is also intended to be used as a comparative collection and promote further research into this assemblage. | Major professor: Robert L. Sappington.; Includes bibliographical references (leaves 134-141).,,,,,Major professor: Robert L. Sappington.; Includes bibliographical references (leaves 134-141).,Abstract: The analysis of the lithic debitage assemblages recovered from archaeological sites has become an important tool for determining past lifeways and behaviors. Lithic debitage enters into the archaeological record where the manufacturing behavior occurred and is therefore a good indicator of spatial use patterns. The analysis of the debitage assemblage from the Kelly Forks Work Center Site found the spatial and temporal patterns are consistent with what is to be expected from a prehistoric seasonal hunting camp with no local source of quality lithic materials. The methods of analysis used a combination of both multivariate aggregate analysis and application load typological analysis. This combined approach was statistically analyzed and it was determined that a correlation exists between these two methodologies. The comprehensive data generated from this research is also intended to be used as a comparative collection and promote further research into this assemblage.,"Stone implements -- Idaho -- Clearwater County -- Analysis; Tools, Prehistoric -- Idaho -- Clearwater County -- Analysis; Indians of North America -- Idaho -- Clearwater County -- Antiquities; Excavations (Archaeology) -- Idaho -- Clearwater County -- Antiquities",eng,"xii, 141 leaves : illustrations (chiefly color), maps (chiefly color) ; 29 cm",Print ISBN: 9780355235692,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71309914660001451,,,,,,,,,
ikdb004,CP71310426740001451,record,Getting back to fire suméŝ : incorporating traditional knowledge into fuels reduction treatments,Thesis,Monique D. Wynecoop,,Penelope Morgan,Monique D. Wynecoop ; Penelope Morgan,2017,,Natural Resources,,"Abstract: Defining fuel treatment effectiveness is challenging in tribal ancestral lands managed for multiple use. We sampled during and one year after the 2015 North Star Fire, which burned 88,221 ha (218,000 ac) of the Confederated Colville Tribal (CCT) ancestral territory. Participatory GIS was used to understand CCT member views regarding the location and effectiveness of fuel treatments within their ancestral territory and also within the Colville National Forest boundary. To help address CCT comments regarding fire effects on cultural plants, we assessed the understory plant species abundance, richness, and diversity within areas treated and untreated prior to being burned by the North Star Fire. The majority of PGIS comments regarding fire effects were supported by our post-fire monitoring results. PGIS comments were organized into management recommendations and desired outcomes. Integrating Traditional Knowledge can improve fuel treatments effectiveness in ongoing adaptive management of forests as social-ecological systems. | Major professor: Penelope Morgan.; Includes bibliographical references (leaves 33-45).",,,,,Major professor: Penelope Morgan.; Includes bibliographical references (leaves 33-45).,"Abstract: Defining fuel treatment effectiveness is challenging in tribal ancestral lands managed for multiple use. We sampled during and one year after the 2015 North Star Fire, which burned 88,221 ha (218,000 ac) of the Confederated Colville Tribal (CCT) ancestral territory. Participatory GIS was used to understand CCT member views regarding the location and effectiveness of fuel treatments within their ancestral territory and also within the Colville National Forest boundary. To help address CCT comments regarding fire effects on cultural plants, we assessed the understory plant species abundance, richness, and diversity within areas treated and untreated prior to being burned by the North Star Fire. The majority of PGIS comments regarding fire effects were supported by our post-fire monitoring results. PGIS comments were organized into management recommendations and desired outcomes. Integrating Traditional Knowledge can improve fuel treatments effectiveness in ongoing adaptive management of forests as social-ecological systems.",Post-fire forest management -- Washington (State) -- Colville National Forest; Colville Indians -- Ethnobiology -- Washington (State) -- Colville National Forest; Traditional ecological knowledge -- Washington (State) -- Colville National Forest,eng,"ix, 82 leaves : illustrations (some color), color maps ; 29 cm",Print ISBN: 9781369820287,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71310426740001451,,,,,,,,,
ikdb005,CP71162088890001451,record,Precipitation of calcite by indigenous microorganisms to strengthen soils,Thesis,Malcom Burbank,,"Ronald L. Crawford, 1947-2018","Malcom Burbank ; Ronald L. Crawford, 1947-2018",2010,,"Microbiology, Molecular Biology, and Biochemistry",,"Abstract: Enrichments for indigenous microorganisms capable of hydrolyzing urea in the presence of CaCl2 were performed on potentially liquefiable saturated soils in both the laboratory and in situ during a field experiment. Following enrichment, treatment of soils with nutrients, CaCl2 and urea resulted in significant in situ precipitation of calcite, even at depth, by indigenous microorganisms. The biomineralized soils showed properties that indicate calcite precipitation increased resistance to seismic-induced liquefaction. Cone penetrometer testing of soil treated in the field indicated a two to three-fold increase in cone penetration resistance in treated soil compared to untreated soil. We found that the precipitation of calcite by indigenous microorganisms was possible in a wide range of soils. In laboratory experiments on six distinct soil types, a range from 2.3 to 19.1% of calcite (w/w) was precipitated within the soil pore space over the course of 3-10 treatments. Additional large-scale tests were performed in a soil microcosm. Enrichment and biomineralization solutions were delivered into the microcosm and not allowed to drain so that the soil within the microcosm remained partially saturated. The experiment resulted in a 33-fold (7.14 MPa) increase in cone tip resistance compared to untreated soil. Cultivable microoganisms [sic] that were able to preferentially use urea as a nitrogen source were isolated from six types of soil and identified by 16S rDNA sequence analysis. Phylogenetic relationships were mapped based on 16S rDNA and ureC sequence homology. Urease activity was measured in the ten candidate isolates and it was found that all of the microorganisms studied constitutively regulated urease and urease activity remained relatively high, even in the presence of 200 mM ammonia. These experiments show that ureolytic bacteria capable of constitutive regulation of urease may be more prevalent than previously thought. | Major professor: Ronald L. Crawford.; Includes bibliographical references.",,,,,Major professor: Ronald L. Crawford.; Includes bibliographical references.,"Abstract: Enrichments for indigenous microorganisms capable of hydrolyzing urea in the presence of CaCl2 were performed on potentially liquefiable saturated soils in both the laboratory and in situ during a field experiment. Following enrichment, treatment of soils with nutrients, CaCl2 and urea resulted in significant in situ precipitation of calcite, even at depth, by indigenous microorganisms. The biomineralized soils showed properties that indicate calcite precipitation increased resistance to seismic-induced liquefaction. Cone penetrometer testing of soil treated in the field indicated a two to three-fold increase in cone penetration resistance in treated soil compared to untreated soil. We found that the precipitation of calcite by indigenous microorganisms was possible in a wide range of soils. In laboratory experiments on six distinct soil types, a range from 2.3 to 19.1% of calcite (w/w) was precipitated within the soil pore space over the course of 3-10 treatments. Additional large-scale tests were performed in a soil microcosm. Enrichment and biomineralization solutions were delivered into the microcosm and not allowed to drain so that the soil within the microcosm remained partially saturated. The experiment resulted in a 33-fold (7.14 MPa) increase in cone tip resistance compared to untreated soil. Cultivable microoganisms [sic] that were able to preferentially use urea as a nitrogen source were isolated from six types of soil and identified by 16S rDNA sequence analysis. Phylogenetic relationships were mapped based on 16S rDNA and ureC sequence homology. Urease activity was measured in the ten candidate isolates and it was found that all of the microorganisms studied constitutively regulated urease and urease activity remained relatively high, even in the presence of 200 mM ammonia. These experiments show that ureolytic bacteria capable of constitutive regulation of urease may be more prevalent than previously thought.",Soil microbiology;  Biomineralization;  Calcite,eng,"ix, 94 leaves : illustrations ; 29 cm",,Ph. D.,"University of Idaho, December 2010.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71162088890001451,,,,,,,,,
ikdb006,CP71106190000001451,record,Some nutritional requirements of Echinodontium tinctorium E. & E.,Thesis,Tou Chen,,,Tou Chen ; ,1967,,,, | ,,,,,,,Indian paint fungus; Phytopathogenic fungi,eng,"41 leaves : photograph, tables ; 29 cm",,Ph. D.,"University of Idaho, College of Forestry, Wildlife and Range Sciences",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71106190000001451,,,,,,,,,
ikdb007,CP71155285410001451,record,Phylogeny of the southern Plateau : an osteometric evaluation of inter-tribal relations,Thesis,Ryan Patrick Harrod,,,Ryan Patrick Harrod ; ,2008,,Anthropology,, | Major professor: Donald E. Tyler.; Includes bibliographical references (leaves 88-93).,,,,,Major professor: Donald E. Tyler.; Includes bibliographical references (leaves 88-93).,,"Indians of North America -- Northwest, Pacific -- Phylogeny; Human remains (Archaeology) -- Northwest, Pacific -- Phylogeny",eng,"x, 145 leaves : color illustrations, color maps ; 29 cm",,M.A.,"University of Idaho, October 2008.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71155285410001451,,,,,,,,,
ikdb008,CP71166072720001451,record,The shield bearing warrior pictographs and petroglyphs of Idaho,Thesis,Julia Altman,,Robert Lee Sappington,Julia Altman ; Robert Lee Sappington,2012,,Anthropology,, | Major professor: Robert L. Sappington.; Includes bibliographical references (leaves 109-118).,,,,,Major professor: Robert L. Sappington.; Includes bibliographical references (leaves 109-118).,,Picture-writing -- Idaho; Petroglyphs -- Idaho; Indian art -- Idaho,eng,"xi, 118 leaves : illustrations (some color), maps ; 28 cm",,M.A.,"University of Idaho, May 2012.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71166072720001451,,,,,,,,,
ikdb009,CP71159166670001451,record,"Floodplain delineation methodology utilizing LiDAR data with attention to urban effects, climate change, and habitat connectivity in Lapwai Creek, Idaho",Thesis,Ashley Williams,,Fritz Richard Fiedler,Ashley Williams ; Fritz Richard Fiedler,2011,,Water Resources,, | Major professor: Fritz Fiedler.; Includes bibliographical references (leaves 135-139).,,,,,Major professor: Fritz Fiedler.; Includes bibliographical references (leaves 135-139).,,Floodplains -- Idaho -- Nez Percé Indian Reservation -- Computer simulation; Optical radar; Steelhead (Fish) -- Habitat -- Conservation -- Idaho -- Nez Percé Indian Reservation; Watershed restoration -- Idaho -- Nez Percé Indian Reservation,eng,"xii, 181 leaves : illustrations (chiefly color), color maps ; 29 cm + 1 CD-ROM (color ; 4 3/4 in.)",,M.S.,"University of Idaho, May 2011.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71159166670001451,,,,,,,,,
ikdb010,CP71102981320001451,record,Classification of mixed-conifer forests using SPOT-5 imagery,Thesis,Raechel A. Bianchetti,,Karen Sue Humes,Raechel A. Bianchetti ; Karen Sue Humes,2010,,Geography,, | Major professor: Karen S. Humes.; Includes bibliographical references (leaves 52-54).,,,,,Major professor: Karen S. Humes.; Includes bibliographical references (leaves 52-54).,,Conifers -- Idaho -- Nez Percé Indian Reservation -- Remote sensing; Conifers -- Idaho -- Nez Percé Indian Reservation -- Classification,eng,"viii, 63 leaves : color illustrations, color map ; 29 cm",,M.S.,"University of Idaho, August 2010.",https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71102981320001451,,,,,,,,,
